,prompt,answer,success,result
64,Quelles communes ont un ratio recettes/dettes (RF01/D001) inférieur à 0.8 en 2024 ?,"SELECT d.city_name, CAST(er_rf.value AS REAL) / CAST(er_d.value AS REAL) AS ratio FROM documents d JOIN extraction_results er_rf ON d.document_id = er_rf.document_id AND er_rf.safir_field_id = 'RF01' JOIN extraction_results er_d ON d.document_id = er_d.document_id AND er_d.safir_field_id = 'D001' WHERE d.document_year = '2024' AND ratio < 0.8;",True,Empty Result (0 rows returned)
65,"Nombre de documents traités avec succès par format (PDF, scan, image) en 2023.","SELECT d.format, COUNT(*) AS documents_reussis FROM documents d JOIN states s ON d.state_id = s.state_id WHERE d.document_year = '2023' AND s.code = 'SUCCESS' GROUP BY d.format;",True,"| format   |   documents_reussis |
|:---------|--------------------:|
| pdf      |                  16 |"
66,Classement des communes par niveau d'endettement (D001) décroissant en 2024.,"SELECT d.city_name, CAST(er.value AS REAL) AS dette FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.document_year = '2024' ORDER BY dette DESC;",True,"| city_name                  |       dette |
|:---------------------------|------------:|
| EUROMETROPOLE STRASBOURG   | 5.03577e+07 |
| EUROMETROPOLE STRASBOURG   | 5.03577e+07 |
| EUROMETROPOLE STRASBOURG   | 5.03577e+07 |
| METROPOLE NICE COTE D'AZUR | 4.95652e+07 |
| METROPOLE NICE COTE D'AZUR | 4.95652e+07 |"
67,Détecter les communes où les dépenses totales dépassent 120% des recettes totales en 2024.,"SELECT d.city_name FROM documents d JOIN extraction_results er_dep ON d.document_id = er_dep.document_id AND er_dep.safir_field_id IN ('DF01','DF011') JOIN extraction_results er_rec ON d.document_id = er_rec.document_id AND er_rec.safir_field_id IN ('RF01','RI01') WHERE d.document_year = '2024' GROUP BY d.city_name HAVING SUM(CAST(er_dep.value AS REAL)) > 1.2 * SUM(CAST(er_rec.value AS REAL));",True,Empty Result (0 rows returned)
68,Évolution du nombre moyen de pages des documents entre 2023 et 2024.,"SELECT document_year, AVG(nb_pages) AS pages_moyennes FROM documents WHERE document_year IN ('2023','2024') GROUP BY document_year;",True,"|   document_year |   pages_moyennes |
|----------------:|-----------------:|
|            2023 |          366.333 |
|            2024 |          218.833 |"
69,Quels indicateurs financiers présentent le plus fort taux d'erreurs d'extraction en 2024 ?,"SELECT er.safir_field_id, (COUNT(CASE WHEN s.code = 'ERROR' THEN 1 END) * 100.0 / COUNT(*)) AS taux_erreur FROM extraction_results er JOIN states s ON er.state_id = s.state_id JOIN documents d ON er.document_id = d.document_id WHERE d.document_year = '2024' GROUP BY er.safir_field_id HAVING COUNT(*) > 10 ORDER BY taux_erreur DESC LIMIT 5;",True,"| safir_field_id   |   taux_erreur |
|:-----------------|--------------:|
| DCT              |       49.2537 |
| DIEQU            |       33.3333 |
| DF66112          |       31.1828 |
| EDBP             |       30.1075 |
| DIEQUBA          |       23.4043 |"
70,Quel est le montant total des dépenses de fonctionnement (DF01) pour toutes les communes en 2023 ?,SELECT SUM(CAST(er.value AS REAL)) AS total_depenses_fonctionnement FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'DF01' AND d.document_year = '2023',True,"| total_depenses_fonctionnement   |
|:--------------------------------|
|                                 |"
71,Combien de communes ont déclaré des recettes d'investissement (RI01) supérieures à 500 000 € en 2024 ?,SELECT COUNT(DISTINCT d.siret) FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'RI01' AND d.document_year = '2024' AND CAST(er.value AS REAL) > 500000,True,"|   COUNT(DISTINCT d.siret) |
|--------------------------:|
|                         0 |"
72,Quelles communes ont un ratio dette/recettes (D001/RF01) supérieur à 1.2 en 2024 ?,SELECT d.city_name FROM documents d JOIN extraction_results e1 ON d.document_id = e1.document_id JOIN extraction_results e2 ON d.document_id = e2.document_id WHERE d.document_year = '2024' AND e1.safir_field_id = 'D001' AND e2.safir_field_id = 'RF01' AND (CAST(e1.value AS REAL) / CAST(e2.value AS REAL)) > 1.2,True,Empty Result (0 rows returned)
73,Évolution du montant total des investissements (DF011) entre 2023 et 2024 par type de masque.,"SELECT d.mask, d.document_year, SUM(CAST(er.value AS REAL)) AS total_investissements FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'DF011' AND d.document_year IN ('2023','2024') GROUP BY d.mask, d.document_year ORDER BY d.mask, d.document_year",True,"| mask    |   document_year |   total_investissements |
|:--------|----------------:|------------------------:|
| M4_CFU  |            2023 |         25880.8         |
| M57_CA  |            2023 |             1.86821e+08 |
| M57_CA  |            2024 |             6.98373e+08 |
| M57_CFU |            2023 |             1.17118e+09 |
| M57_CFU |            2024 |             6.82518e+08 |"
74,Quel est le montant total des recettes de fonctionnement (RF01) pour toutes les communes en 2023 ?,SELECT SUM(CAST(e.value AS REAL)) AS total_recettes_fonctionnement FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'RF01' AND d.document_year = '2023' AND e.value <> '',True,"| total_recettes_fonctionnement   |
|:--------------------------------|
|                                 |"
75,Combien de communes ont déclaré des dépenses d'investissement (DF011) supérieures à 1 million d'euros en 2024 ?,SELECT COUNT(DISTINCT d.siret) FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'DF011' AND d.document_year = '2024' AND CAST(e.value AS REAL) > 1000000 AND e.value <> '',True,"|   COUNT(DISTINCT d.siret) |
|--------------------------:|
|                        17 |"
76,Nombre de documents traités avec succès (état SUCCESS) en 2023.,SELECT COUNT(*) FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS' AND d.document_year = '2023',True,"|   COUNT(*) |
|-----------:|
|         16 |"
77,Quel pourcentage des documents 2024 sont des budgets annexes (BA) ?,SELECT (COUNT(CASE WHEN budget_type = 'BA' THEN 1 END) * 100.0 / COUNT(*)) AS pourcentage_ba FROM documents WHERE document_year = '2024',True,"|   pourcentage_ba |
|-----------------:|
|          11.1111 |"
78,Comparaison des dépenses de fonctionnement (DF01) entre communes de plus de 100 000 habitants et les autres en 2024.,"SELECT CASE WHEN CAST(SUBSTR(d.siret, 1, 9) AS INTEGER) > 100000 THEN 'Grandes communes' ELSE 'Autres communes' END AS categorie, AVG(CAST(e.value AS REAL)) AS depenses_moyennes FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'DF01' AND d.document_year = '2024' AND e.value <> '' GROUP BY categorie",True,Empty Result (0 rows returned)
79,Évolution du montant total des investissements (DF011) entre 2023 et 2024 par type de masque documentaire.,"SELECT d.mask, d.document_year, SUM(CAST(e.value AS REAL)) AS total_investissements FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'DF011' AND d.document_year IN ('2023','2024') AND e.value <> '' GROUP BY d.mask, d.document_year ORDER BY d.mask, d.document_year",True,"| mask    |   document_year |   total_investissements |
|:--------|----------------:|------------------------:|
| M4_CFU  |            2023 |         25880.8         |
| M57_CA  |            2023 |             1.86821e+08 |
| M57_CA  |            2024 |             6.98373e+08 |
| M57_CFU |            2023 |             1.17118e+09 |
| M57_CFU |            2024 |             6.82518e+08 |"
80,Quelles communes ont un ratio dette/recettes (D001/RF01) supérieur à 1.5 en 2024 ?,SELECT d.city_name FROM documents d JOIN extraction_results e1 ON d.document_id = e1.document_id JOIN extraction_results e2 ON d.document_id = e2.document_id WHERE d.document_year = '2024' AND e1.safir_field_id = 'D001' AND e2.safir_field_id = 'RF01' AND e1.value <> '' AND e2.value <> '' AND (CAST(e1.value AS REAL) / CAST(e2.value AS REAL)) > 1.5 GROUP BY d.city_name,True,Empty Result (0 rows returned)
81,Répartition du nombre de pages des documents par type de budget et année.,"SELECT budget_type, document_year, AVG(nb_pages) AS pages_moyennes FROM documents GROUP BY budget_type, document_year",True,"| budget_type   |   document_year |   pages_moyennes |
|:--------------|----------------:|-----------------:|
| BA            |            2023 |           70     |
| BA            |            2024 |          104.667 |
| BP            |            2023 |          383.765 |
| BP            |            2024 |          233.104 |"
82,Quels sont les indicateurs financiers les plus fréquemment extraits avec des erreurs en 2024 ?,"SELECT e.safir_field_id, COUNT(*) AS nombre_erreurs FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE d.document_year = '2024' AND e.message_error IS NOT NULL AND e.message_error <> '' GROUP BY e.safir_field_id ORDER BY nombre_erreurs DESC LIMIT 5",True,"| safir_field_id   |   nombre_erreurs |
|:-----------------|-----------------:|
| SIRET            |               93 |
| RRI              |               93 |
| RRF              |               93 |
| ROI              |               93 |
| ROF              |               93 |"
83,Comparaison des recettes de fonctionnement (RF01) entre documents PDF et scans en 2024.,"SELECT d.format, AVG(CAST(e.value AS REAL)) AS recettes_moyennes FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'RF01' AND d.document_year = '2024' AND d.format IN ('pdf','scan') AND e.value <> '' GROUP BY d.format",True,Empty Result (0 rows returned)
84,Quelles communes ont vu leurs dépenses de fonctionnement (DF01) augmenter de plus de 10% entre 2023 et 2024 ?,SELECT d2024.city_name FROM documents d2024 JOIN extraction_results e2024 ON d2024.document_id = e2024.document_id JOIN documents d2023 ON d2024.siret = d2023.siret JOIN extraction_results e2023 ON d2023.document_id = e2023.document_id WHERE d2024.document_year = '2024' AND d2023.document_year = '2023' AND e2024.safir_field_id = 'DF01' AND e2023.safir_field_id = 'DF01' AND e2024.value <> '' AND e2023.value <> '' AND (CAST(e2024.value AS REAL) - CAST(e2023.value AS REAL)) / CAST(e2023.value AS REAL) > 0.1,True,Empty Result (0 rows returned)
85,Taux de documents avec anomalies de validation pour la dette (D001) en 2024.,SELECT (COUNT(DISTINCT CASE WHEN e.message_error IS NOT NULL AND e.message_error <> '' THEN d.document_id END) * 100.0 / COUNT(DISTINCT d.document_id)) AS taux_anomalies FROM documents d LEFT JOIN extraction_results e ON d.document_id = e.document_id AND e.safir_field_id = 'D001' WHERE d.document_year = '2024',True,"|   taux_anomalies |
|-----------------:|
|          86.1111 |"
86,Communes où les dépenses totales dépassent 120% des recettes totales en 2024 (somme RF01 + RI01 vs DF01 + DF011).,"SELECT d.city_name FROM documents d JOIN (SELECT document_id, SUM(CASE safir_field_id WHEN 'RF01' THEN CAST(value AS REAL) WHEN 'RI01' THEN CAST(value AS REAL) ELSE 0 END) AS recettes_totales, SUM(CASE safir_field_id WHEN 'DF01' THEN CAST(value AS REAL) WHEN 'DF011' THEN CAST(value AS REAL) ELSE 0 END) AS depenses_totales FROM extraction_results WHERE safir_field_id IN ('RF01','RI01','DF01','DF011') AND value <> '' GROUP BY document_id) e ON d.document_id = e.document_id WHERE d.document_year = '2024' AND depenses_totales > 1.2 * recettes_totales",True,"| city_name                            |
|:-------------------------------------|
| COMMUNE DE BONIFACIO                 |
| COMMUNE DE BONIFACIO                 |
| COMMUNE DE BONIFACIO                 |
| COMMUNAUTE AGGLOMERATION LUNEL AGGLO |
| BAGNOLET VILLE - VILLE               |"
87,Évolution du ratio dette/recettes (D001/RF01) par commune entre 2023 et 2024.,"WITH ratios AS (SELECT d.siret, d.document_year, CAST(e1.value AS REAL) / CAST(e2.value AS REAL) AS ratio FROM documents d JOIN extraction_results e1 ON d.document_id = e1.document_id JOIN extraction_results e2 ON d.document_id = e2.document_id WHERE e1.safir_field_id = 'D001' AND e2.safir_field_id = 'RF01' AND e1.value <> '' AND e2.value <> '' AND d.document_year IN ('2023','2024')) SELECT siret, MAX(CASE document_year WHEN '2023' THEN ratio END) AS ratio_2023, MAX(CASE document_year WHEN '2024' THEN ratio END) AS ratio_2024 FROM ratios GROUP BY siret",True,Empty Result (0 rows returned)
88,Corrélation entre le nombre de pages des documents et le taux d'erreur d'extraction par commune en 2024.,"SELECT d.siret, d.nb_pages, COUNT(CASE WHEN e.message_error IS NOT NULL AND e.message_error <> '' THEN 1 END) * 1.0 / COUNT(*) AS taux_erreur FROM documents d LEFT JOIN extraction_results e ON d.document_id = e.document_id WHERE d.document_year = '2024' GROUP BY d.siret, d.nb_pages",True,"|          siret |   nb_pages |   taux_erreur |
|---------------:|-----------:|--------------:|
| 20003019500115 |        307 |      1        |
| 20003986500106 |         49 |      1        |
| 20006812000019 |        645 |      0.998601 |
| 21080044600072 |        116 |      0.991935 |
| 21080445600072 |        116 |      1        |"
89,Répartition des documents par type de masque et année budgétaire.,"SELECT mask, document_year, COUNT(*) AS nombre_documents FROM documents GROUP BY mask, document_year;",True,"| mask    |   document_year |   nombre_documents |
|:--------|----------------:|-------------------:|
| M4_CFU  |            2023 |                  1 |
| M57_CA  |            2023 |                  2 |
| M57_CA  |            2024 |                 53 |
| M57_CFU |            2023 |                 15 |
| M57_CFU |            2024 |                 55 |"
90,Quel est le taux de documents traités avec succès (état SUCCESS) en 2023 ?,SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM documents WHERE document_year = '2023')) AS taux_success FROM documents d JOIN states s ON d.state_id = s.state_id WHERE s.code = 'SUCCESS' AND d.document_year = '2023';,True,"|   taux_success |
|---------------:|
|        88.8889 |"
91,Top 5 des communes par montant total d'investissement (DF011) en 2024.,"SELECT d.city_name, SUM(CAST(er.value AS REAL)) AS total_investissement FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'DF011' AND d.document_year = '2024' GROUP BY d.city_name ORDER BY total_investissement DESC LIMIT 5;",True,"| city_name                            |   total_investissement |
|:-------------------------------------|-----------------------:|
| EUROMETROPOLE STRASBOURG             |            3.52811e+08 |
| METROPOLE NICE COTE D'AZUR           |            2.48869e+08 |
| COMMUNAUTE AGGLOMERATION LUNEL AGGLO |            1.89371e+08 |
| BAGNOLET VILLE - VILLE               |            1.61099e+08 |
| VILLE DE SETE                        |            9.35102e+07 |"
92,Nombre moyen de pages des documents par type de budget (BP/BA) en 2024.,"SELECT budget_type, AVG(nb_pages) AS pages_moyennes FROM documents WHERE document_year = '2024' GROUP BY budget_type;",True,"| budget_type   |   pages_moyennes |
|:--------------|-----------------:|
| BA            |          104.667 |
| BP            |          233.104 |"
93,Comparaison des recettes de fonctionnement (RF01) entre communes de moins de 10 000 habitants et les autres en 2024 (basé sur SIRET).,"SELECT CASE WHEN CAST(SUBSTR(d.siret, 10, 5) AS INTEGER) < 10000 THEN 'Petites communes' ELSE 'Grandes communes' END AS categorie, AVG(CAST(er.value AS REAL)) AS recettes_moyennes FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'RF01' AND d.document_year = '2024' GROUP BY categorie;",True,Empty Result (0 rows returned)
94,Évolution du montant total des investissements (DF011) entre 2023 et 2024 par région (3 premiers chiffres SIRET).,"SELECT SUBSTR(d.siret, 1, 3) AS region, d.document_year, SUM(CAST(er.value AS REAL)) AS total_investissement FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'DF011' AND d.document_year IN ('2023','2024') GROUP BY region, d.document_year ORDER BY region, d.document_year;",True,"|   region |   document_year |   total_investissement |
|---------:|----------------:|-----------------------:|
|      200 |            2023 |        25880.8         |
|      200 |            2024 |            3.48761e+08 |
|      210 |            2023 |            1.59304e+08 |
|      210 |            2024 |       148061           |
|      211 |            2024 |            2.93437e+07 |"
95,Communes où les dépenses de fonctionnement (DF01) dépassent les recettes de fonctionnement (RF01) en 2024.,"SELECT d.city_name FROM (SELECT d.document_id, MAX(CASE WHEN er.safir_field_id = 'DF01' THEN CAST(er.value AS REAL) END) AS depenses, MAX(CASE WHEN er.safir_field_id = 'RF01' THEN CAST(er.value AS REAL) END) AS recettes FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE d.document_year = '2024' AND er.safir_field_id IN ('DF01','RF01') GROUP BY d.document_id) AS sub JOIN documents d ON sub.document_id = d.document_id WHERE sub.depenses > sub.recettes GROUP BY d.city_name;",True,Empty Result (0 rows returned)
96,Taux de documents présentant des erreurs d'extraction pour la dette (D001) en 2024.,SELECT (COUNT(DISTINCT d.document_id) * 100.0 / (SELECT COUNT(DISTINCT document_id) FROM extraction_results WHERE safir_field_id = 'D001' AND document_year = '2024')) AS taux_erreur FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.document_year = '2024' AND er.message_error IS NOT NULL AND er.message_error <> '';,True,"|   taux_erreur |
|--------------:|
|       85.3211 |"
97,Communes dont le ratio dette/recettes (D001/RF01) dépasse 1.5 en 2024.,"SELECT d.city_name FROM (SELECT d.document_id, MAX(CASE WHEN er.safir_field_id = 'D001' THEN CAST(er.value AS REAL) END) AS dette, MAX(CASE WHEN er.safir_field_id = 'RF01' THEN CAST(er.value AS REAL) END) AS recettes FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE d.document_year = '2024' AND er.safir_field_id IN ('D001','RF01') GROUP BY d.document_id) AS sub JOIN documents d ON sub.document_id = d.document_id WHERE sub.dette / sub.recettes > 1.5 GROUP BY d.city_name;",True,Empty Result (0 rows returned)
98,Évolution du nombre de documents traités par mois en 2024.,"SELECT STRFTIME('%Y-%m', created_at) AS mois, COUNT(*) AS nombre_documents FROM documents WHERE document_year = '2024' GROUP BY mois ORDER BY mois;",True,"| mois   |   nombre_documents |
|:-------|-------------------:|
|        |                108 |"
99,Corrélation entre le nombre de pages des documents et le nombre d'erreurs d'extraction en 2024.,"SELECT d.document_id, d.nb_pages, COUNT(er.result_id) AS nombre_erreurs FROM documents d LEFT JOIN extraction_results er ON d.document_id = er.document_id AND er.message_error IS NOT NULL AND er.message_error <> '' WHERE d.document_year = '2024' GROUP BY d.document_id;",True,"| document_id                          |   nb_pages |   nombre_erreurs |
|:-------------------------------------|-----------:|-----------------:|
| 02975f2f-8329-46fa-ba21-a97ed081a015 |        110 |              119 |
| 057ffefd-a1f5-4135-bf27-410c3c492d12 |        110 |              119 |
| 0a4dd2e7-d981-43e5-b17d-fa8eb2d4486d |        110 |              119 |
| 0bdfda43-da7f-4198-bb7a-0e0c303d9dcd |        202 |              116 |
| 0eb5fd02-71f8-4b5f-b945-9b8690c3f4c5 |         93 |              119 |"
100,Communes où la dette (D001) a augmenté de plus de 15% entre 2023 et 2024.,"WITH dette_2023 AS (SELECT d.siret, AVG(CAST(er.value AS REAL)) AS dette FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.document_year = '2023' GROUP BY d.siret), dette_2024 AS (SELECT d.siret, AVG(CAST(er.value AS REAL)) AS dette FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE er.safir_field_id = 'D001' AND d.document_year = '2024' GROUP BY d.siret) SELECT d.city_name FROM dette_2024 d4 JOIN dette_2023 d3 ON d4.siret = d3.siret JOIN documents d ON d4.siret = d.siret WHERE d4.dette > d3.dette * 1.15 GROUP BY d.city_name;",True,Empty Result (0 rows returned)
101,Communes avec un excédent budgétaire (RF01 > DF01) en 2023 et un déficit (RF01 < DF01) en 2024.,"WITH bilan_2023 AS (SELECT d.siret, MAX(CASE WHEN er.safir_field_id = 'RF01' THEN CAST(er.value AS REAL) END) - MAX(CASE WHEN er.safir_field_id = 'DF01' THEN CAST(er.value AS REAL) END) AS solde FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE d.document_year = '2023' AND er.safir_field_id IN ('RF01','DF01') GROUP BY d.document_id), bilan_2024 AS (SELECT d.siret, MAX(CASE WHEN er.safir_field_id = 'RF01' THEN CAST(er.value AS REAL) END) - MAX(CASE WHEN er.safir_field_id = 'DF01' THEN CAST(er.value AS REAL) END) AS solde FROM extraction_results er JOIN documents d ON er.document_id = d.document_id WHERE d.document_year = '2024' AND er.safir_field_id IN ('RF01','DF01') GROUP BY d.document_id) SELECT d.city_name FROM documents d WHERE d.siret IN (SELECT siret FROM bilan_2023 WHERE solde > 0) AND d.siret IN (SELECT siret FROM bilan_2024 WHERE solde < 0) GROUP BY d.city_name;",True,Empty Result (0 rows returned)
102,Quel est le montant total des investissements (DF011) pour toutes les communes en 2024 ?,SELECT SUM(CAST(e.value AS REAL)) AS total_investissements FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'DF011' AND d.document_year = '2024';,True,"|   total_investissements |
|------------------------:|
|             1.38089e+09 |"
103,Combien de communes ont déclaré des dépenses de fonctionnement (DF01) supérieures à 1 million d'euros en 2024 ?,SELECT COUNT(DISTINCT d.siret) FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'DF01' AND CAST(e.value AS REAL) > 1000000 AND d.document_year = '2024';,True,"|   COUNT(DISTINCT d.siret) |
|--------------------------:|
|                         0 |"
104,Liste des communes ayant publié un budget annexe (BA) en 2023.,SELECT DISTINCT city_name FROM documents WHERE budget_type = 'BA' AND document_year = '2023';,True,"| city_name                     |
|:------------------------------|
| REGIE ENR-SYNDMC SDEC ENERGIE |"
105,Quel est le nombre moyen de pages des documents traités en 2024 ?,SELECT AVG(nb_pages) FROM documents WHERE document_year = '2024';,True,"|   AVG(nb_pages) |
|----------------:|
|         218.833 |"
106,Quelles communes ont un ratio recettes/dettes (RF01/D001) inférieur à 0.7 en 2024 ?,SELECT d.city_name FROM extraction_results e1 JOIN extraction_results e2 ON e1.document_id = e2.document_id JOIN documents d ON e1.document_id = d.document_id WHERE e1.safir_field_id = 'RF01' AND e2.safir_field_id = 'D001' AND d.document_year = '2024' AND CAST(e1.value AS REAL) / CAST(e2.value AS REAL) < 0.7;,True,Empty Result (0 rows returned)
107,Nombre de documents traités avec le masque M57_CA en 2023.,SELECT COUNT(*) FROM documents WHERE mask = 'M57_CA' AND document_year = '2023';,True,"|   COUNT(*) |
|-----------:|
|          2 |"
108,Quel est le montant maximal de dette (D001) déclaré par une commune en 2024 ?,SELECT MAX(CAST(e.value AS REAL)) AS dette_max FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'D001' AND d.document_year = '2024';,True,"|   dette_max |
|------------:|
| 5.03577e+07 |"
109,Liste des communes dont le document dépasse 300 pages en 2024.,SELECT DISTINCT city_name FROM documents WHERE nb_pages > 300 AND document_year = '2024';,True,"| city_name                    |
|:-----------------------------|
| EUROMETROPOLE STRASBOURG     |
| COMMUNE DE BRIVE             |
| QUIMPER BRETAGNE OCCIDENTALE |
| METROPOLE NICE COTE D'AZUR   |
| Ville de Concarneau          |"
110,Top 10 des communes par montant total de recettes d'investissement (RI01) en 2024.,"SELECT d.city_name, SUM(CAST(e.value AS REAL)) AS total_recettes_invest FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'RI01' AND d.document_year = '2024' GROUP BY d.city_name ORDER BY total_recettes_invest DESC LIMIT 10;",True,Empty Result (0 rows returned)
111,Comparaison du taux d'endettement moyen (D001/RF01) entre budgets principaux et annexes en 2024.,"SELECT d.budget_type, AVG(CAST(e1.value AS REAL) / CAST(e2.value AS REAL)) AS ratio_moyen FROM extraction_results e1 JOIN extraction_results e2 ON e1.document_id = e2.document_id JOIN documents d ON e1.document_id = d.document_id WHERE e1.safir_field_id = 'D001' AND e2.safir_field_id = 'RF01' AND d.document_year = '2024' GROUP BY d.budget_type;",True,Empty Result (0 rows returned)
112,Quelles communes ont vu leur dette (D001) augmenter de plus de 20% entre 2023 et 2024 ?,"WITH dette_2023 AS (SELECT d.siret, CAST(e.value AS REAL) AS valeur FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'D001' AND d.document_year = '2023'), dette_2024 AS (SELECT d.siret, CAST(e.value AS REAL) AS valeur FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'D001' AND d.document_year = '2024') SELECT d.city_name FROM dette_2024 d4 JOIN dette_2023 d3 ON d4.siret = d3.siret JOIN documents d ON d4.siret = d.siret WHERE d4.valeur > d3.valeur * 1.20;",True,Empty Result (0 rows returned)
113,Répartition des documents par type de masque et budget type en 2024.,"SELECT mask, budget_type, COUNT(*) AS nombre_documents FROM documents WHERE document_year = '2024' GROUP BY mask, budget_type;",True,"| mask    | budget_type   |   nombre_documents |
|:--------|:--------------|-------------------:|
| M57_CA  | BA            |                 12 |
| M57_CA  | BP            |                 41 |
| M57_CFU | BP            |                 55 |"
114,Quel est l'indicateur financier le plus fréquemment extrait avec des erreurs en 2024 ?,"SELECT e.safir_field_id, COUNT(*) AS nombre_erreurs FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE d.document_year = '2024' AND e.message_error IS NOT NULL AND e.message_error != '' GROUP BY e.safir_field_id ORDER BY nombre_erreurs DESC LIMIT 1;",True,"| safir_field_id   |   nombre_erreurs |
|:-----------------|-----------------:|
| SIRET            |               93 |"
115,Comparaison des recettes de fonctionnement (RF01) moyennes entre documents PDF et scans en 2024.,"SELECT d.format, AVG(CAST(e.value AS REAL)) AS recettes_moyennes FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE e.safir_field_id = 'RF01' AND d.document_year = '2024' AND d.format IN ('pdf', 'scan') GROUP BY d.format;",True,Empty Result (0 rows returned)
116,Quelles communes ont un excédent de fonctionnement (RF01 > DF01) en 2024 mais un déficit en 2023 ?,"WITH solde_2023 AS (SELECT d.siret, MAX(CASE WHEN e.safir_field_id = 'RF01' THEN CAST(e.value AS REAL) END) - MAX(CASE WHEN e.safir_field_id = 'DF01' THEN CAST(e.value AS REAL) END) AS solde FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE d.document_year = '2023' AND e.safir_field_id IN ('RF01', 'DF01') GROUP BY d.siret HAVING solde < 0), solde_2024 AS (SELECT d.siret, MAX(CASE WHEN e.safir_field_id = 'RF01' THEN CAST(e.value AS REAL) END) - MAX(CASE WHEN e.safir_field_id = 'DF01' THEN CAST(e.value AS REAL) END) AS solde FROM extraction_results e JOIN documents d ON e.document_id = d.document_id WHERE d.document_year = '2024' AND e.safir_field_id IN ('RF01', 'DF01') GROUP BY d.siret HAVING solde > 0) SELECT d.city_name FROM solde_2024 s4 JOIN solde_2023 s3 ON s4.siret = s3.siret JOIN documents d ON s4.siret = d.siret;",True,Empty Result (0 rows returned)
117,Détecter les communes où les dépenses totales (DF01 + DF011) dépassent de 30% les recettes totales (RF01 + RI01) en 2024.,"SELECT d.city_name FROM (SELECT document_id, SUM(CASE WHEN safir_field_id IN ('DF01', 'DF011') THEN CAST(value AS REAL) ELSE 0 END) AS depenses, SUM(CASE WHEN safir_field_id IN ('RF01', 'RI01') THEN CAST(value AS REAL) ELSE 0 END) AS recettes FROM extraction_results WHERE document_id IN (SELECT document_id FROM documents WHERE document_year = '2024') GROUP BY document_id HAVING depenses > recettes * 1.30) res JOIN documents d ON res.document_id = d.document_id;",True,"| city_name                            |
|:-------------------------------------|
| COMMUNE DE BONIFACIO                 |
| COMMUNE DE BONIFACIO                 |
| COMMUNE DE BONIFACIO                 |
| COMMUNAUTE AGGLOMERATION LUNEL AGGLO |
| BAGNOLET VILLE - VILLE               |"
118,Taux de documents avec au moins une erreur de validation pour la règle 'D001_coherence' en 2024.,SELECT COUNT(DISTINCT e.document_id) * 100.0 / (SELECT COUNT(*) FROM documents WHERE document_year = '2024') AS taux_erreur FROM extraction_results e JOIN validation_rules vr ON e.safir_field_id IN (SELECT value FROM json_each(vr.safir_field_id_list)) WHERE vr.validation_rule_id = 'D001_coherence' AND e.message_error IS NOT NULL AND e.message_error != '' AND e.document_id IN (SELECT document_id FROM documents WHERE document_year = '2024');,True,"|   taux_erreur |
|--------------:|
|             0 |"
